fkh,P32
Cul1,Nedd8
Cul3,Nedd8
Cul1,Cul1
Cul3,Cul3
Den1,Nedd8
E(bx),ken
KLHL18,Cul3
KLHL18,CG10324
KLHL18,CG5808
KLHL18,l(2)37Cb
KLHL18,l(2)37Cb
KLHL18,Cul3
KLHL18,CG5808
KLHL18,KLHL18
KLHL18,CG10324
slmb,vpu
slmb,vpu
hipk,gro
ebi,ttk
ebi,sina
Roc1a,Cul1
Roc1b,Cul1
Roc1a,Cul1
Roc1a,Cul2
Roc1b,Cul3
Roc2,Cul5
Dp1,RpL23A
Dp1,RpL24
Dp1,RpS6
Dp1,RpL12
Dp1,RpS25
Dp1,RpS8
Dp1,RpL6
Dp1,Dp1
Hey,dgrn
side,dgrn
h,dgrn
dpn,dgrn
E(spl)m8-HLH,dgrn
E(spl)m3-HLH,dgrn
E(spl)m5-HLH,dgrn
E(spl)m7-HLH,dgrn
E(spl)mdelta-HLH,dgrn
E(spl)mgamma-HLH,dgrn
dgrn,dpn
Trl,Hira
mtrm,cort
CycA,cort
CycA,fzy
cort,Cdc16
cort,Cdc23
cort,Cdc27
cort,shtd
cort,mtrm
RYBP,skpA
RYBP,Cul1
lwr,Med
lwr,Med
Ance,KNG1
smo,RpS27A
smo,Hrs
smo,Ubpy
PRKACA,smo
CSNK1A1,smo
Traf6,ben
park,ben
Traf6,RpS27A
SAK,slmb
SAK,SAK
pll,pll
pll,cact
CkIIalpha,cact
SAK,asl
SAK,RpS27A
SAK,slmb
SAK,SAK
puff,dm
puff,ago
dm,puff
Rpn10,RpS27A
Atpalpha,RpS27A
Hsp83,RpS27A
Hsp26,RpS27A
Hsp27,RpS27A
fax,RpS27A
Argk,RpS27A
Fas3,RpS27A
betaTub56D,RpS27A
alphaTub84B,RpS27A
Hsc70-4,RpS27A
Eno,RpS27A
Flo2,RpS27A
CG8209,RpS27A
Rpn13,RpS27A
rngo,RpS27A
Rpt5,RpS27A
Uch-L5,RpS27A
CG15118,RpS27A
HIP,RpS27A
CG7033,RpS27A
Nrt,RpS27A
CG12082,RpS27A
Rad23,RpS27A
p47,RpS27A
TER94,RpS27A
dUTPase,RpS27A
CG1910,RpS27A
RpS10b,RpS27A
14-3-3epsilon,RpS27A
14-3-3zeta,RpS27A
hts,RpS27A
rin,RpS27A
flo,RpS27A
Src42A,RpS27A
Eps-15,RpS27A
Df31,RpS27A
CG8223,RpS27A
RpS7,RpS27A
pAbp,RpS27A
eIF-4a,RpS27A
Akap200,RpS27A
Fas2,RpS27A
nopo,DNApol-eta
nopo,DNApol-iota
nopo,DNApol-eta
DNApol-eta,nopo
RpS27A,DNApol-eta
trbd,Tak1
Tab2,trbd
Tak1,Ubi-p63E
Atg18a,ref(2)P
Atg18a,Atg9
ref(2)P,Atg18a
Atg18a,Atg2
Atg18b,Atg2
Hrs,Ubi-p63E
Ubpy,Hrs
Hrs,Ubpy
Uch,UBA52
His3.3A,Phf7
otu,Ubi-p63E
trx,trx
Apc2,arm
Apc2,APC
Apc2,CTNNB1
Ubqn,Rpn13R
Ubqn,Rpt4
Ubqn,Rpt3
Ubqn,Rpt6
Ubqn,Prosbeta4R1
Ubqn,Prosbeta4R2
Ubqn,Rpn11
Ubqn,Prosalpha6T
Ubqn,Rpn3
Ubqn,Rpt1
Ubqn,Prosalpha7
Ubqn,Rpn6
Ubqn,Prosalpha5
Ubqn,Rpn8
Ubqn,Prosbeta2
Ubqn,Rpn12
Ubqn,Rpn1
Ubqn,Rpn10
Ubqn,Prosbeta7
Ubqn,Rpn5
Ubqn,Prosbeta3
Ubqn,Rpn7
Ubqn,Rpn9
Ubqn,Rpt5
Ubqn,Rpt2
Ubqn,Rpn2
Ubqn,Prosalpha3T
Ubqn,Prosbeta5
Ubqn,Prosalpha1
Ubqn,Prosbeta1
th,EndoG
th,EndoG
not,Gcn5
not,Ubi-p63E
Sgf11,Ubi-p63E
Sgf11,Atxn7
Sgf11,not
Sgf11,e(y)2
Atxn7,Ada2b
Atxn7,Gcn5
Atxn7,Ada2b
Atxn7,Gcn5
Atxn7,dik
Atxn7,Sgf29
Atxn7,CG6506
Atxn7,Ada1-2
Atxn7,Spt3
Atxn7,Spt20
Atxn7,Nipped-A
Atxn7,e(y)1
Atxn7,Taf10b
Atxn7,Taf12
Atxn7,wda
Atxn7,Saf6
Atxn7,not
Atxn7,Sgf11
Atxn7,e(y)2
Atxn7,Ada2b
asf1,nej
gw,CNOT1
gw,CNOT8
th,Ubc12
th,th
th,Ice
th,th
th,Ice
Ice,Parp
th,grim
th,W
FK506-bp1,FK506-bp1
FK506-bp1,FK506-bp1
FK506-bp1,CG4554
FK506-bp1,l(2)k09022
FK506-bp1,CG5728
FK506-bp1,CG8064
FK506-bp1,CG1671
FK506-bp1,l(1)G0020
FK506-bp1,CG9799
FK506-bp1,CG12050
FK506-bp1,nop5
FK506-bp1,CG12301
FK506-bp1,CG7246
FK506-bp1,CG7728
FK506-bp1,Mat89Ba
FK506-bp1,CG12325
FK506-bp1,l(3)07882
FK506-bp1,CG2260
FK506-bp1,CG7839
FK506-bp1,CG9300
FK506-bp1,Rtc1
FK506-bp1,Nop56
FK506-bp1,CG2875
FK506-bp1,hoip
FK506-bp1,mad2
FK506-bp1,CG13097
FK506-bp1,Fib
FK506-bp1,CG7275
FK506-bp1,l(3)72Dn
FK506-bp1,l(1)G0004
FK506-bp1,CG9775
FK506-bp1,Sas10
FK506-bp1,CG5589
FK506-bp1,Aatf
FK506-bp1,wcd
FK506-bp1,Nnp-1
FK506-bp1,CG3071
FK506-bp1,Rs1
FK506-bp1,CG9246
FK506-bp1,CG5033
FK506-bp1,dbe
FK506-bp1,CG6937
FK506-bp1,CG8939
FK506-bp1,CG4806
FK506-bp1,CG4364
FK506-bp1,sle
FK506-bp1,CG6724
FK506-bp1,U3-55K
FK506-bp1,CG2982
FK506-bp1,CG11030
FK506-bp1,CG11583
FK506-bp1,CG3527
FK506-bp1,CG11920
FK506-bp1,Nop60B
FK506-bp1,pit
FK506-bp1,CG1142
FK506-bp1,CG4866
FK506-bp1,CG1542
FK506-bp1,CG9107
FK506-bp1,CG8414
FK506-bp1,l(2)34Fd
FK506-bp1,CG14805
FK506-bp1,CG32075
FK506-bp1,Non3
FK506-bp1,Pp1-87B
FK506-bp1,CG11999
FK506-bp1,Bka
FK506-bp1,Non1
FK506-bp1,His4r
FK506-bp1,His2A:CG31618
FK506-bp1,His2B:CG17949
FK506-bp1,His3.3A
FK506-bp1,His2Av
FK506-bp1,CG8108
FK506-bp1,msn
FK506-bp1,Argk
sqa,sqh
sqa,sqa
Atg1,Atg1
sqa,Atg1
Atg1,sqa
Atg1,sqa
KPNB1,Nup98-96
RagA-B,gig
RagC-D,gig
RagA-B,gig
RagC-D,gig
gw,Not1
gw,Rga
gw,CG11486
gw,PAN2
Brca2,pds5
Brca2,PDS5B
Brca2,PDS5A
Brca2,RAD51
Brca2,FANCD2
wts,jub
sav,jub
yki,jub
Mer,wts
Mer,wts
sav,hpo
Caf1,MTA1-like
Caf1,MBD-like
Caf1,simj
nsl1,mof
nsl1,wds
nsl1,Rcd5
nsl1,MBD-R2
nsl1,dgt1
dgt1,mof
dgt1,MBD-R2
dgt1,Rcd5
dgt1,nsl1
dgt1,wds
Rcd5,dgt1
dgt1,Rcd1
mof,nsl1
MBD-R2,nsl1
Rcd5,nsl1
wds,nsl1
wds,dgt1
nsl1,MBD-R2
gw,Not1
gw,Rga
gw,CG11486
gw,pAbp
gw,AGO1
eIF4AIII,ncm
eIF4AIII,Acn
eIF4AIII,Bin1
eIF4AIII,Pnn
eIF4AIII,SRm160
eIF4AIII,tsu
eIF4AIII,Prp19
eIF4AIII,RnpS1
eIF4AIII,btz
eIF4AIII,Hel25E
Atg8a,bchs
wg,FZD3
wg,FZD3
N,EOGT
EOGT,N
Rtnl1,CG10445
Rtnl1,CG9727
dp,CG1234
sgg,Nlg1
Fas2,Nlg1
Fas2,CG9317
Rtnl1,neb
sgg,CG10137
Fas2,CG10188
Rtnl1,l(2)37Cd
Fas2,l(2)37Cb
sgg,ssp3
Sema-1a,ssp3
Fas2,CG10600
Sema-1a,CadN2
Sema-1a,CG15145
Rtnl1,CG15145
sgg,CG15144
dp,Dhc36C
sgg,Dhc36C
Sema-1a,CLIP-190
Fas2,CG12288
Rtnl1,CG12288
sgg,CG42784
dp,DnaJ-H
Fas2,CG9932
Sema-1a,Tor
Fas2,Pih1D1
sgg,CG6509
Sema-1a,CG4751
Sema-1a,l(2)gd1
Fas2,YL-1
Fas2,CG6700
Fas2,LM408
Rtnl1,CG5390
Rtnl1,SoYb
dp,CG4594
sgg,Etl1
Rtnl1,Etl1
Fas2,nAChRalpha6
Fas2,Akap200
Fas2,CG8552
sgg,poe
Sema-1a,poe
flw,poe
flw,Myo28B1
Sema-1a,CG4496
Fas2,SA
Sema-1a,SA
Fas2,CG18304
sgg,l(2)k09022
Rtnl1,sens-2
Rtnl1,Liprin-alpha
Sema-1a,slam
flw,CG13991
Rtnl1,lid
Fas2,CG9044
Fas2,Ncoa6
Sema-1a,Ncoa6
Fas2,vkg
Rtnl1,Rtnl1
sgg,eIF3-S10
Sema-1a,eIF3-S10
Rtnl1,Karybeta3
Fas2,CG12163
sgg,mtd
Fas2,mtd
sgg,CG2926
Fas2,CG2926
flw,CG2926
Rtnl1,CG2926
Rtnl1,plx
Sema-1a,CG2100
dp,CG31559
sgg,CG11523
sgg,Ddx1
Fas2,Pitslre
flw,Pitslre
Fas2,CG4042
Sema-1a,CG4042
Rtnl1,CG4042
Fas2,in
sgg,Zir
Fas2,Zir
flw,CG31974
Sema-1a,kis
Fas2,Rpp30
Fas2,Hop
Sema-1a,rempA
sgg,CG2807
dp,ast
Fas2,CG14339
sgg,lea
Rtnl1,CG14352
Rtnl1,Got2
Fas2,CG7261
Rtnl1,lilli
flw,toc
Rtnl1,toc
sgg,CG31952
Rtnl1,CG3921
Rtnl1,Ir25a
Fas2,HERC2
Sema-1a,CG1718
sgg,CG1801
sgg,CG8219
Fas2,ltl
Sema-1a,CG7457
Rtnl1,mus301
Fas2,RecQ4
dp,Atg18a
Sema-1a,Sbp2
sgg,CG43163
Sema-1a,CG6745
sgg,rhea
dp,S-Lap1
Fas2,S-Lap1
dp,CG6749
sgg,CG42268
Fas2,Ir67b
Sema-1a,CG42671
Sema-1a,chrb
Sema-1a,CG6084
flw,CG6084
Rtnl1,CG6084
Fas2,RpL10Ab
Fas2,CCDC151
Rtnl1,Grip163
sgg,sti
Rtnl1,sti
Rtnl1,tral
Rtnl1,nst
sgg,Or69a
Fas2,CG10749
Rtnl1,Zmynd10
dp,SRm160
sgg,CG10732
Sema-1a,upSET
Rtnl1,upSET
Fas2,bbg
Rtnl1,CG12316
sgg,CG6498
Sema-1a,CG6498
sgg,l(3)72Ab
flw,Mbs
Fas2,CG33158
Sema-1a,CG4169
Sema-1a,CG32164
dp,CG13032
Sema-1a,CG9674
flw,CG9674
Rtnl1,CG9674
sgg,rogdi
dp,CG7692
Sema-1a,Sec3
sgg,CG6034
Sema-1a,CG7320
flw,Sgf11
sgg,ms(3)76Cc
flw,kto
Sema-1a,kug
Fas2,Hers
Rtnl1,Hers
sgg,CG14230
Fas2,RpS10b
sgg,CG7358
Fas2,CG7358
Fas2,Dhc16F
sgg,chas
Fas2,CG43658
Rtnl1,CG8915
Rtnl1,CG5004
Sema-1a,RhoGAP15B
Rtnl1,SmG
sgg,Graf
Sema-1a,Graf
Rtnl1,Graf
Fas2,shtd
Sema-1a,shtd
sgg,CG6227
Sema-1a,CG6227
Fas2,CtsB1
flw,Smr
Fas2,Pkcdelta
Fas2,CG2247
sgg,HP5
sgg,CG11122
Sema-1a,CG11122
Fas2,Myo10A
sgg,CG17150
Sema-1a,CG17150
flw,CG17150
Sema-1a,pav
sgg,CG43367
Rtnl1,YT521-B
sgg,kst
flw,kst
Sema-1a,CG14967
Rtnl1,Girdin
Rtnl1,Atg2
Fas2,Oseg2
flw,Oseg2
sgg,zormin
Sema-1a,zormin
flw,zormin
Fas2,CG12020
Fas2,CG7879
Fas2,CG12084
Fas2,SA-2
sgg,CG13889
Fas2,CG13887
Fas2,Tudor-SN
Rtnl1,Tudor-SN
Fas2,E(bx)
Fas2,slik
flw,slik
Sema-1a,IntS1
Fas2,CG30183
Rtnl1,Gr59e
Sema-1a,Golgin245
flw,Golgin245
sgg,CG9861
dp,CG12782
Fas2,CG3499
Sema-1a,CG4554
Fas2,Rtf1
Sema-1a,CG30263
sgg,cv-2
Rtnl1,cv-2
dp,CG9754
Sema-1a,CG9754
Sema-1a,cpa
Rtnl1,Atg8a
sgg,Cht6
flw,Cht6
flw,CG2990
Rtnl1,Idgf4
Fas2,CG42797
dp,Cubn
Sema-1a,CG34449
Rtnl1,Larp7
Fas2,CG32708
sgg,IntS4
sgg,CG1387
Fas2,sdt
Rtnl1,Gbeta5
Fas2,Upf2
sgg,CG14438
Sema-1a,CG14438
flw,CG14438
Rtnl1,CG14438
Fas2,RpL17
Fas2,CG14441
flw,CG14441
Rtnl1,schlank
Sema-1a,fs(1)M3
Sema-1a,CG4078
sgg,CG2861
Fas2,CG2861
Fas2,CG3626
sgg,tyf
Rtnl1,tyf
Fas2,VhaAC39-1
Rtnl1,dnc
Sema-1a,PI4KIIIalpha
Fas2,trol
Rtnl1,CG3457
Fas2,CG14811
dp,Gr2a
Sema-1a,futsch
Fas2,CG11380
Rtnl1,l(1)1Bi
Rtnl1,GlyP
Fas2,snama
Sema-1a,CG7856
flw,CG7856
Rtnl1,CG7856
Fas2,Trap1
flw,Trap1
Rtnl1,Trap1
Rtnl1,CG1850
sgg,didum
Fas2,didum
Sema-1a,didum
sgg,Asap
Fas2,Asap
Fas2,LRP1
Rtnl1,FANCI
Fas2,babo
Fas2,Pkn
Rtnl1,Pkn
Fas2,CAP
Rtnl1,CAP
Sema-1a,sha
flw,sha
Rtnl1,CG8290
Fas2,pds5
Rtnl1,CG8545
Rtnl1,CG4744
Rtnl1,CG42321
Fas2,mip120
Rtnl1,CG6191
Fas2,shot
sgg,Su(var)2-HP2
Sema-1a,Su(var)2-HP2
Rtnl1,Inr-a
sgg,Khc-73
Fas2,CG9068
Fas2,CG8060
Fas2,IntS8
Sema-1a,RhoGEF2
Fas2,CG30460
Fas2,CG15611
sgg,MESR4
Sema-1a,MESR4
flw,Dcr-2
Rtnl1,Dcr-2
sgg,eIF3-S8
Rtnl1,eIF3-S8
Rtnl1,CG6362
Fas2,slim
Rtnl1,Rgk1
Fas2,betaTub56D
Fas2,par-1
Sema-1a,awd
Rtnl1,awd
sgg,CG34422
dp,Sec16
dp,dp
sgg,dp
flw,dp
Rtnl1,Fhos
Fas2,CG31342
Fas2,Vps13
Fas2,Phb2
Fas2,tou
Sema-1a,tou
sgg,CG3632
sgg,Msp300
Sema-1a,Msp300
flw,Msp300
Sema-1a,zip
flw,zip
Fas2,ald
Sema-1a,ald
Sema-1a,CG34417
sgg,Apoltp
Fas2,Apoltp
sgg,CG3339
Sema-1a,CG3339
flw,CG3339
Rtnl1,CG3339
sgg,btv
Fas2,btv
flw,btv
flw,Itp-r83A
flw,CG30275
Rtnl1,CG7573
Fas2,CG13551
Rtnl1,CG13551
Rtnl1,TbCMF46
Rtnl1,CG12970
Rtnl1,CG42817
Sema-1a,LanA
Sema-1a,Dscam4
Sema-1a,mld
sgg,mgl
sgg,Ank2
Fas2,Msp300
Fas2,CG8908
Fas2,CG30120
Rtnl1,CG10663
Rtnl1,tweek
Fas2,CG43729
flw,CG43729
sgg,CG13185
Sema-1a,CG13185
flw,IP3K2
Fas2,ATPsyn-gamma
sgg,CadN
Fas2,RpL3
Fas2,Hira
Fas2,Rpt6
dp,Rack1
Fas2,Rack1
Rtnl1,CG11417
Rtnl1,RpL10
Sema-1a,Ten-m
Rtnl1,Ten-m
Fas2,eIF4G
Sema-1a,Clk
Rtnl1,PyK
Fas2,pck
Fas2,aub
Fas2,C3G
sgg,ec
Rtnl1,Adh
flw,Abl
flw,Mhc
Fas2,Mhc
Fas2,alphaTub84B
Fas2,Tm1
Fas2,Gapdh2
Rtnl1,CkIIalpha
Fas2,Lam
Fas2,RpL4
Sema-1a,InR
flw,ry
Fas2,Act5C
Fas2,Hsc70-2
flw,Pp1-87B
Rtnl1,Pp1-87B
Fas2,EF2
Rtnl1,fs(1)h
sgg,Hn
Sema-1a,Hn
Fas2,PCNA
Fas2,dec-1
Rtnl1,sgg
Fas2,pcx
sgg,up
Fas2,Ca-P60A
Rtnl1,Ca-P60A
Rtnl1,l(2)37Cc
Sema-1a,Cyp1
Rtnl1,Cyp1
Fas2,DNApol-alpha180
flw,Sos
sgg,B52
Fas2,ogre
Fas2,Xpac
flw,Aats-glupro
Rtnl1,Aats-glupro
Sema-1a,exu
Fas2,14-3-3zeta
Sema-1a,14-3-3zeta
Rtnl1,Crc
Rtnl1,Tpi
Fas2,bnb
Fas2,Hsc70-3
Fas2,RpL7
Sema-1a,rut
sgg,ft
Sema-1a,ft
sgg,Prm
dp,Prm
Fas2,para
Fas2,Psc
Rtnl1,Psc
Sema-1a,Ptp10D
sgg,wupA
Sema-1a,wupA
flw,wupA
sgg,sta
Fas2,sta
flw,sqh
Fas2,bnk
Sema-1a,La
Fas2,RpS4
Sema-1a,GstS1
Sema-1a,tsr
Rtnl1,tsr
Fas2,st
Fas2,RpL7A
Fas2,Klp61F
Rtnl1,Klp68D
Fas2,Cctgamma
Sema-1a,dia
Rtnl1,Argk
flw,trpl
sgg,Taf1
Sema-1a,Taf1
Sema-1a,hyd
Fas2,srp
Fas2,Act57B
Fas2,DNApol-delta
Rtnl1,Gdh
Fas2,FK506-bp1
Fas2,Pdi
Fas2,cnn
Rtnl1,CycE
Rtnl1,Cam
flw,prominin-like
sgg,gskt
sgg,His2A:CG31618
Fas2,sif
Sema-1a,Pi3K92E
Fas2,CG2187
Rtnl1,Letm1
Fas2,Dab
Fas2,yl
Fas2,beta-Spec
Fas2,jar
Fas2,Ssrp
Fas2,RpS3
sgg,Gel
sgg,Gyc32E
Rtnl1,sqd
Fas2,CG34124
Rtnl1,Phb2
Fas2,shn
Rtnl1,CG2269
Sema-1a,CG8740
Fas2,Pink1
Rtnl1,Eph
Fas2,Irbp
Fas2,fliI
sgg,sog
Fas2,AP-1-2beta
Sema-1a,Iswi
Fas2,RyR
Sema-1a,RyR
Sema-1a,mus210
Fas2,sesB
flw,caz
Fas2,Vha68-2
Sema-1a,Vha68-2
flw,Vha68-2
Rtnl1,Vha68-2
Rtnl1,Nlp
Fas2,tam
Sema-1a,ERp60
sgg,cp309
Rtnl1,CG30447
sgg,zip
Fas2,Unc-89
Fas2,Cul4
Sema-1a,tefu
flw,Synj
Rtnl1,row
Fas2,armi
Fas2,CG4019
Fas2,btsz
sgg,CG42637
Fas2,tn
Sema-1a,tn
Fas2,ACC
Sema-1a,CG9436
Rtnl1,CG9436
Rtnl1,CG9010
Fas2,CG2469
Fas2,CG7137
Fas2,CG7768
sgg,mars
Rtnl1,mars
Rtnl1,CG12736
Rtnl1,CG7845
Sema-1a,CG17230
Rtnl1,Spn43Aa
sgg,CG8378
Fas2,wde
Rtnl1,CG1688
Fas2,Rpt1
Fas2,TER94
sgg,Dp1
Sema-1a,Mad1
Fas2,CG1646
Rtnl1,CG42390
Rtnl1,Ret
sgg,CG31817
Fas2,CG33310
sgg,CG33288
Fas2,CG9391
Fas2,asparagine-synthetase
Rtnl1,CG9485
Fas2,east
Fas2,CG7065
sgg,Doa
Fas2,Mical
Fas2,Zn72D
sgg,Nipped-A
Fas2,Nipped-A
Sema-1a,Nipped-A
flw,Nipped-A
Fas2,unc-13
Sema-1a,unc-13
flw,unc-13
sgg,CG31029
Fas2,CG31029
Fas2,CG5815
Sema-1a,puf
Rtnl1,CG6454
Fas2,CG31465
Fas2,CG32473
Rtnl1,CG31805
Fas2,Myo28B1
sgg,tacc
Fas2,toc
sgg,jv
Fas2,Gug
dp,CG32040
Rtnl1,Tyler
Fas2,ens
Fas2,pio
sgg,trol
Sema-1a,trr
Rtnl1,CG30287
flw,RpS8
Rtnl1,CG11698
sgg,lva
Fas2,lva
Sema-1a,lva
Sema-1a,CG10077
Sema-1a,Syn2
Rtnl1,Syn2
flw,Lpin
Rtnl1,Lpin
Fas2,CG30339
flw,MYPT-75D
sgg,CG32344
Fas2,Golgin84
Sema-1a,Clect27
Rtnl1,CG32026
Fas2,CG6512
Rtnl1,Pif1A
Fas2,Nacalpha
flw,Dref
Fas2,porin
sgg,gwl
Sema-1a,CG6686
Rtnl1,CG6686
Fas2,vig2
dp,Sap47
Sema-1a,Ude
Fas2,key
dp,CG18788
Fas2,sls
Sema-1a,dom
sgg,CenG1A
sgg,PEK
Fas2,Ef1gamma
Rtnl1,cic
Fas2,sws
Rtnl1,mRpL50
Fas2,Rpn7
Rtnl1,VhaSFD
Sema-1a,Tektin-A
Fas2,Jafrac1
Rtnl1,Jafrac1
Fas2,vig
flw,Cul3
sgg,PlexA
sgg,Rfabg
Fas2,Rfabg
Sema-1a,Rfabg
Rtnl1,Rfabg
Sema-1a,Asator
Fas2,Sin1
Rtnl1,CG8152
Fas2,cora
Sema-1a,CG3107
Sema-1a,Ars2
Rtnl1,Ars2
Fas2,RpL21
Fas2,CG42748
Fas2,CG1428
sgg,Acf1
Fas2,cindr
Sema-1a,PH4alphaEFB
Rtnl1,PH4alphaEFB
flw,CG15523
sgg,yata
Rtnl1,CG11882
sgg,Dhc98D
Fas2,Dhc98D
Sema-1a,Dhc98D
Fas2,Moca-cyp
Fas2,CG4884
sgg,Gp93
Sema-1a,Gp93
flw,Gp93
Rtnl1,Gp93
Fas2,unc80
Fas2,CG42534
flw,l(3)mbt
Rtnl1,CG14260
flw,CG5521
flw,TwdlJ
flw,TwdlM
sgg,Nf1
sgg,Tnks
Fas2,Nup358
sgg,Clbn
Fas2,CG3744
Sema-1a,CG42331
Fas2,CG6695
dp,CG13625
flw,CG13625
Fas2,Dis3
sgg,BRWD3
Fas2,BRWD3
Sema-1a,mask
sgg,SMC1
Sema-1a,CG5986
flw,CG5986
Rtnl1,CG5986
Fas2,mbc
sgg,CG4393
Rtnl1,Rassf
Fas2,CG6726
Fas2,CG12499
Rtnl1,CG43343
dp,CG16791
Rtnl1,CG3308
Sema-1a,Dhc93AB
flw,Dhc93AB
Rtnl1,Syp
dp,Nlg4
Fas2,CG11391
Fas2,Dys
flw,Mekk1
Fas2,CG15803
Fas2,Mdh2
Rtnl1,Mdh2
sgg,Rim
flw,Cad89D
sgg,msps
Sema-1a,Hel89B
Fas2,blp
Fas2,CG45105
sgg,ear
Rtnl1,ear
Fas2,CG4338
Rtnl1,Spn88Eb
Fas2,CG42788
Fas2,VhaPPA1-1
Fas2,Nup93-2
Sema-1a,CG3731
Rtnl1,CG3731
Fas2,Rrp6
Fas2,jvl
Fas2,Cad88C
flw,Cad88C
Fas2,CG10841
Fas2,CG7518
Fas2,CG14395
Fas2,pps
Rtnl1,pps
Fas2,Pglym87
sgg,CG18476
sgg,sals
Fas2,CG5270
Rtnl1,Tctp
Rtnl1,Mcm5
Rtnl1,mRpL37
Fas2,Irp-1B
sgg,Bruce
Fas2,CG43143
sgg,CG42795
Sema-1a,CG42795
Rtnl1,CG42795
Rtnl1,SpdS
sgg,CG8147
Rtnl1,CG11980
Rtnl1,Tcp-1eta
Fas2,Cenp-C
Edc3,Cp1
Dcr-2,r2d2
l(1)G0148,chif
CDC7,chif
CDC7,l(1)G0148
CG5790,chif
l(1)G0148,Mcm2
l(1)G0148,HIST1H2BB
l(1)G0148,HIST1H3A
Afti,Gga
AP-1gamma,Afti
AP-2alpha,Afti
Afti,AP-1gamma
AP-1gamma,Afti
AP-1gamma,Afti
AP1G1,Afti
Ap1g2,Afti
Dcr-2,r2d2
ci,Usp7
ci,Usp7
Usp7,ci
Usp7,ci
Usp7,bur
bur,ci
bur,Usp7
USP7,ci
SPOP,puc
SPOP,puc
neur,NEURL4
neur,Dll1
Su(var)205,Stat92E
Stat92E,Su(var)205
Su(var)205,Stat92E
htt,ref(2)P
UBC,Fancl
UBE2T,Fancl
Fancl,Fancl
Fancl,fancd2
GNB1,T-cp1
GNB1,CG5525
GNB1,T-cp1
GNB1,CG7033
GNB1,CG5525
GNB1,Cctgamma
GNB1,Cct5
GNB1,Tcp-1eta
GNB1,Tcp-1zeta
GNB1,CG8258
GNB1,CG7033
GNB1,CG7033
GNB1,CG8258
GNB1,Tcp-1zeta
GNB1,Tcp-1eta
GNB1,Cct5
GNB1,CG5525
GNB1,T-cp1
GNB1,Cctgamma
PDCL,T-cp1
PDCL,CG5525
PDCL,Cct5
PDCL,Tcp-1eta
PDCL,Tcp-1zeta
PDCL,CG8258
PDCL,CG7033
PDCL,T-cp1
PDCL,CG5525
PDCL,Cct5
PDCL,Tcp-1eta
PDCL,Tcp-1zeta
PDCL,CG8258
PDCL,CG7033
PDCL,Cctgamma
MIB1,Dl
H3F3A,ear
cib,GSN
cib,ACTA1
cib,ACTA1
Tak1,MBP
CTCF,e(y)2
e(y)2,CTCF
CG1218,PARP1
Fem-1,Slbp
G9a,EcR
G9a,EcR
G9a,EcR
G9a,sba
cin,Mocs1
y,su(s)
y,ph-p
y,ph-p
y,e(y)1
y,e(y)1
y,e(y)3
y,Top2
y,BEAF-32
y,Topors
y,Cap-H2
y,su(Hw)
y,su(Hw)
y,su(Hw)
y,su(Hw)
y,su(Hw)
y,su(Hw)
y,su(Hw)
y,su(Hw)
y,su(Hw)
y,su(Hw)
y,su(Hw)
y,su(Hw)
y,su(Hw)
y,su(Hw)
y,su(Hw)
y,su(Hw)
y,su(Hw)
y,su(Hw)
y,su(Hw)
y,su(Hw)
y,su(Hw)
y,su(Hw)
y,Cp190
y,e
y,e(y)2
y,mod(mdg4)
y,mod(mdg4)
y,mod(mdg4)
y,mod(mdg4)
y,mod(mdg4)
y,mod(mdg4)
y,mod(mdg4)
y,mod(mdg4)
y,mod(mdg4)
y,mod(mdg4)
y,mod(mdg4)
y,mod(mdg4)
y,mod(mdg4)
y,mod(mdg4)
y,mod(mdg4)
y,mod(mdg4)
ac,Act5C
ac,Bx
ac,Egfr
ac,h
ac,klu
ac,sr
ac,sens
ac,ttk
ac,ttk
sc,ac
sc,ac
sc,ase
sc,z
sc,Act5C
sc,e(y)1
sc,e(y)3
sc,ed
sc,smt3
sc,da
sc,tup
sc,dpn
sc,chn
sc,Chi
sc,nvy
sc,h
sc,h
sc,Rel
sc,su(Hw)
sc,su(Hw)
sc,su(Hw)
sc,su(Hw)
sc,su(Hw)
sc,su(Hw)
sc,sr
sc,E(spl)mdelta-HLH
sc,E(spl)mgamma-HLH
sc,E(spl)m7-HLH
sc,sens
sc,sens
sc,sens
sc,sens
sc,mod(mdg4)
sc,mod(mdg4)
sc,mod(mdg4)
sc,mod(mdg4)
sc,Sxl
sc,Sxl
sc,mir-9a
l(1)sc,eIF-4a
l(1)sc,Hrb27C
l(1)sc,da
l(1)sc,ptc
l(1)sc,Hr46
l(1)sc,mam
l(1)sc,emc
l(1)sc,h
l(1)sc,jumu
l(1)sc,Dl
l(1)sc,H
l(1)sc,E(spl)m8-HLH
l(1)sc,E(spl)m8-HLH
l(1)sc,E(spl)m8-HLH
l(1)sc,Acsl
ase,esg
ase,nvy
elav,ewg
elav,fne
elav,Rbp9
elav,sli
elav,robo
elav,comm
elav,comm
elav,Sxl
Appl,Fas2
Appl,Fas2
Appl,Bace
Appl,Bace
Appl,Bace
Appl,kuz
Appl,Khc
Appl,robl
Appl,APP-BP1
Appl,APP-BP1
Appl,hbs
Appl,sra
Appl,sra
Dredd,Rel
Dredd,CecA1
Dredd,Tollo
skpA,Jra
skpA,RYBP
skpA,th
skpA,rpr
skpA,wnd
